,name,address,latitude,longitude,HH_start,HH_end,confidence_index,beer_1,nHHprice_1,HHprice_1,volume_1,beer_2,nHHprice_2,HHprice_2,volume_2,beer_3,nHHprice_3,HHprice_3,volume_3,beer_4,nHHprice_4,HHprice_4,volume_4,beer_5,nHHprice_5,HHprice_5,volume_5,beer_6,nHHprice_6,HHprice_6,volume_6,beer_7,nHHprice_7,HHprice_7,volume_7,beer_8,nHHprice_8,HHprice_8,volume_8
55,Apérock Café,"46 Boulevard Voltaire, 75011 Paris, France",48.8633287,2.3705352,16,18,3,Cheapest beer,6.5,5.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Arc en Ciel,"160 Boulevard Voltaire, 75011 Paris, France",48.8557572,2.3832468,15,21,10,Cheapest beer,4.0,4.0,50,Leffe Blonde,7.0,5.0,50.0,Urubu,4.0,,50.0,,,,,,,,,,,,,,,,,,,,
57,Arcadi Café,"Rue d'Arenberg 18, 1000 Bruxelles, Belgium",50.848348,4.356553626495724,0,0,2,cristal,5.5,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Archi-Bar,"13bis Rue Campagne Première, 75014 Paris, France",48.8397458,2.3325002,16,21,6,Cheapest beer,5.0,3.0,50,Mojito,6.5,4.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,
59,Arena Bar,"28 Rue St Denis, 75001 Paris, France",48.85994,2.3482195,16,1930,0,Kronenbourg,7.0,3.9,50,1664,,4.1,50.0,Grimbergen Blanche,,4.3,50.0,Grimbergen Blonde,,4.3 ,50,La Chouffe,,5.5 ,50,,,,,,,,,,,,
60,Arena Cafe,"Quai Eric Tabarly, 29200 Brest, France",48.3806673,-4.4895959,0,0,0,Cheapest beer,5.0,,50,Kwak,,,50.0,La Chouffe,,,50.0,,,,,,,,,,,,,,,,,,,,
61,Arroka,"2 Rue Gardères, 64200 Biarritz, France",43.48267625,-1.5590385360690222,0,0,0,Amstel,5.0,,50,Edelweiss Blanche,7.5,,50.0,Affligem,7.5,,50.0,,,,,,,,,,,,,,,,,,,,
62,Art Bistro,"56 Rue de Clichy, 75009 Paris, France",48.8808433,2.3287568,16,20,2,Cheapest beer,7.5,5.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Art Café,"37 Rue de Lappe, 75011 Paris, France",48.853387,2.3734188,1730,21,0,Cheapest beer,6.0,4.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Art Scène,"6 Rue Sigefroi, 2536 Luxembourg",49.611254900000006,6.133690440670845,0,0,1,Cheapest beer,5.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Arthur et Juliette,"51 Rue des Morillons, 75015 Paris, France",48.8329431,2.3003167,16,18,5,Cheapest beer,9.6,5.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Arty Paris,"17 Rue Daunou, 75002 Paris, France",48.8697597,2.3308934,1730,20,1,Heineken,8.0,6.0,50,Moretti,8.0,6.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,
67,Asilo Politico,"Via Cia degli Ordelaffi, 8, 47521 Cesena FC, Italy",44.1359187,12.2402551,0,0,0,Cheapest beer,4.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Atelier 15,"15 Boulevard Victor Hugo, 93400 Saint-Ouen, France",48.911154,2.332754,1530,1830,1,Cheapest beer,5.8,4.5,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Atelier 58,"58 Rue Daguerre, 75014 Paris, France",48.8349997,2.3270026,1530,19,5,Ancre,6.0,4.0,50,Lagunitas IPA,9.5,7.5,50.0,,,,,,,,,,,,,,,,,,,,,,,,
70,Atlantique,"16 Place Gambetta, 56000 Vannes, France",47.6540813,-2.7584665,0,0,0,Cheapest beer,5.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Au Beaujolais,"167 Rue du Faubourg Poissonnière, 75009 Paris, France",48.8813873,2.3497189,0,0,1,Cheapest beer,5.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Au Bon Coin,"1 Quai de l'Île, 76600 Le Havre, France",49.4867286,0.1130575,0,0,0,Cheapest beer,5.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Au Bon Retour,"66 Rue des Sauveteurs, 76600 Le Havre, France",49.4920678,0.0971565,0,0,0,Cheapest beer,6.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Au Bouillon Belge,"6 Rue Planchat, 75020 Paris, France",48.8520344,2.3993968,16,19,4,Cheapest beer,6.0,3.95,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Au Bouquet,"24 Boulevard de Bonne Nouvelle, 75010 Paris, France",48.8704167,2.3504557,0,0,0,Cheapest beer,,5.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Au Bouquet!,"75 Avenue du Général Leclerc, 75014 Paris-14E-Arrondissement, France",48.8280918,2.3273628,17,20,1,Cheapest beer,9.4,6.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Au Bout Du Bar,"111 Rue Paul Vaillant Couturier, 95100 Argenteuil, France",48.9473908,2.255747,16,1830,1,Cheapest beer,6.3,4.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Au Bout Du Monde 2.0,"1 Rue Haute Cité, 87000 Limoges, France",45.8293806,1.2656355,17,19,1,Cheapest beer,5.6,5.0,50,Budweiser,5.7,5.0,50.0,Hoegaarden Wit-Blanche,7.1,6.5,50.0,Delirium Tremens,8 ,,50,Leffe Blonde,7.5 ,,50,Desperados,5 ,,33,Corona,5 ,,33,TBD,TBD,TBD,TBD
79,Au Bout Là-Bas,"109 Quai Henri IV, 76200 Dieppe, France",49.9286066,1.0818583,0,0,0,Cheapest beer,6.5,,50,Guinness,7.5,,50.0,,,,,,,,,,,,,,,,,,,,,,,,
80,Au Brasseur,22 Rue des Veaux,48.5826016,7.755537,16,18,8,Cheapest beer,4.6,2.4,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Au Bureau,1 Place Etienne Pernet,48.8436419,2.2927063,16,19,11,Stella Artois,7.5,3.75,50,Hoegaarden Wit-Blanche,9.0,9.0,50.0,Hoegaarden Rosée,9.5,9.5,50.0,Leffe Blonde,9 ,9 ,50,Leffe Ruby,9.9 ,9.9 ,50,Leffe Royale Cascade IPA,10.4 ,10.4 ,50,Leffe Rituel,10.4 ,10.4 ,50,TBD,TBD,TBD,TBD
82,Au Bureau,"9 Rue de l'Arrivée, 95880 Enghien-les-Bains, France",48.9721887,2.3074448,0,0,1,Stella Artois,6.8,,50,Hoegaarden Wit-Blanche,7.6,,50.0,,,,,,,,,,,,,,,,,,,,,,,,
83,Au Bureau,"8 Avenue Aristide Briand, 93160 Noisy-le-Grand, France",48.8481751,2.5525241,16,1830,3,Stella Artois,5.4,4.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Au Bureau,"14 Boulevard de la République, 92100 Boulogne-Billancourt, France",48.8316948,2.2552904,16,19,2,Cheapest beer,7.0,3.5,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Au Bureau,"66 Rue Pierre Charron, 75008 Paris, France",48.8698564,2.3042077,16,19,0,Cheapest beer,8.8,7.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Au Bureau,"12 Place Maurice Berteaux, 78400 Chatou, France",48.8868012,2.1548682,17,19,1,Cheapest beer,6.5,3.5,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Au Bureau,"36 Rue Bernardin de Saint-Pierre, 76600 Le Havre, France",49.4928013,0.1053368,16,18,0,Cheapest beer,6.5,3.3,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Au Bureau,"13 Rue de la Poste, 74000 Annecy, France",45.9015159,6.122616,16,18,2,Cheapest beer,5.4,3.6,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Au Bureau,"69 Route de Nantes, 56860 Séné, France",47.6496349,-2.7163227,0,0,0,Cheapest beer,5.9,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Au Bureau,"12 Place Robert Belvaux, 94170 Le Perreux-sur-Marne, France",48.8383355,2.4952066,17,19,1,Stella Artois,6.4,3.2,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Au Bureau,"13 Boulevard Aristide Briand, 92400 Courbevoie, France",48.899718,2.2589301,16,18,0,Stella Artois,8.5,6.5,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Au Bureau,"Avenue du Passage du Lac, 78180 Montigny-le-Bretonneux, France",48.7794211,2.039009,16,19,0,Cheapest beer,5.8,5.8,50,Stella Artois,6.9,5.8,50.0,Hoegaarden Wit-Blanche,8.8,7.0,50.0,Leffe Ruby,9.7 ,7 ,50,Triple Karmeliet,9.8 ,9.8 ,50,Leffe Brune,9.7 ,7 ,50,,,,,,,,
93,Au Bureau,"Rue André Citroën, 95130 Franconville, France",48.9897705,2.2105142,0,0,0,Stella Artois,6.8,,50,Hoegaarden Wit-Blanche,7.6,,50.0,,,,,,,,,,,,,,,,,,,,,,,,
94,Au Bureau,"13 place du grand ouest, 91300 Massy, France",48.723941,2.2632693,16,19,1,Stella Artois,6.8,3.4,50,Kwak,6.4,6.4,33.0,Hoegaarden Wit-Blanche,7.5,3.75,50.0,,,,,,,,,,,,,,,,,,,,
96,Au Canon Des Invalides,"54 Rue Saint-Dominique, 75007 Paris, France",48.8599294,2.3094438,0,0,1,Cheapest beer,,6.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Au Carrefour,"99 Rue Ordener, 75018 Paris, France",48.8920054,2.3466758,0,0,1,Cheapest beer,,4.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Au Caveau Montpensier,"15 Rue de Montpensier, 75001 Paris, France",48.8646142,2.3366345,1630,19,0,Cheapest beer,6.5,5.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Au Cent Quatre,100 Avenue Gabriel Péri,41.6203969,8.9713807,0,0,1,Amstel,5.0,,50,Leffe Blonde,2.9,,25.0,,,,,,,,,,,,,,,,,,,,,,,,
100,Au Ch'Ti Bar,"39 Rue Perolière, 05000 Gap, France",44.5601194,6.080045,0,0,0,Cheapest beer,4.8,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Au Chai De L'abbaye,"26 Rue de Buci, 75006 Paris, France",48.8537453,2.3365413,0,0,0,Cheapest beer,7.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Au Chat Noir,"76 Rue Jean-Pierre Timbaud, 75011 Paris, France",48.867249,2.376097,0,0,3,Cheapest beer,,3.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Au Chat Noir,"13 Allée Duguay Trouin, 44000 Nantes, France",47.2129438,-1.556283,0,0,0,Cheapest beer,5.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Au Chef Raid,"7 Rue Montoir Poissonnerie, 14000 Caen, France",49.1849441,-0.3599806,0,0,0,Cheapest beer,4.5,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Au Chien Stupide,"4 Rue des Carmélites, 44000 Nantes, France",47.2164816,-1.5514173,0,0,1,Cheapest beer,4.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Au Clair De Lune (18),"1 Rue Ramey, 75018 Paris, France",48.8869539,2.3474488,17,21,3,Cheapest beer,6.0,4.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Au Coeur Du Marais,"56 Rue des Archives, 75004 Paris, France",48.8599753,2.3568642,0,0,0,Warsteiner,,5.5,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Au Coin De La Rue,"34 Rue de Bourgogne, 75007 Paris, France",48.8577764,2.3175147,17,20,11,Cheapest beer,7.0,4.5,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Au Coin de la Rue,20 Rue Rivay,48.8923749,2.291265,1630,1830,0,Cheapest beer,5.0,5.0,50,Stella Artois,6.5,5.5,50.0,Leffe Blonde,7.0,,50.0,,,,,,,,,,,,,,,,,,,,
110,Au Coup Franc,"119 Avenue René Coty, 76600 Le Havre, France",49.4984686,0.1173084,0,0,0,Cheapest beer,5.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Au Depot,"53 Boulevard de Belleville, 75011 Paris, France",48.8690037,2.3803916,14,22,3,Cheapest beer,5.0,2.5,50,Hoegaarden Wit-Blanche,7.0,6.0,50.0,La Chouffe,8.0,7.0,50.0,Leffe Blonde,8 ,7 ,50,,,,,,,,,,,,,,,,
112,Au Dernier Métro,"70 Boulevard de Grenelle, 75015 Paris, France",48.8503476,2.2931504,15,17,4,Cheapest beer,6.8,4.2,50,Delirium Tremens,3.8,,25.0,,,,,,,,,,,,,,,,,,,,,,,,
113,Au Diable Des Lombards,"64 Rue des Lombards, 75001 Paris, France",48.859895,2.3475059,15,21,3,Coq Hardi,7.0,5.0,50,Charles Quint,8.9,6.9,50.0,Tongerlo,8.9,6.9,50.0,Spéciale 1900,8.9 ,6.9 ,50,Cuvée des Trolls,9.1 ,7.1 ,50,Kasteel Rouge,9.2 ,7.2 ,50,Charles Wells triple IPA,8.9 ,6.9 ,50,TBD,TBD,TBD,TBD
114,Au Doyen,"176 Quai du Port, 13002 Marseille, France",43.2957959,5.3666651,0,0,0,Cheapest beer,7.5,,50,Heineken,5.0,,33.0,Pietra,6.0,,33.0,1664 Blanche,5.5 ,,33,Cubanisto,6.5 ,,33,Desperados,6.5 ,,33,Corona,6.5 ,,33,Grimbergen Blonde,6.5 ,,33
115,Au Faubourg,"92 Rue du Faubourg Saint-Denis, 75010 Paris, France",48.8742185,2.3554058,0,0,7,Stella Artois,3.9,,50,Kwak,6.5,,50.0,La Chouffe,7.5,,50.0,Vedett Extra IPA,7 ,,50,,,,,,,,,,,,,,,,
116,Au Fil Du Vin,"145 Quai de Valmy, 75010 Paris, France",48.8776848,2.3652531,16,1,2,Cheapest beer,6.0,5.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Au Fond Du Bar,"15 Rue Simart, 75018 Paris, France",48.890558,2.3481879,0,0,0,Cheapest beer,,4.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Au Fut Et A Mesure,"61 Rue St Jean du Pérot, 17000 La Rochelle, France",46.1562118,-1.1558548,0,0,0,La Chouffe,2.5,,25,Kasteel Rouge,3.9,,25.0,,,,,,,,,,,,,,,,,,,,,,,,
119,Au Fut Et À Mesiure,"6 Rue de la République, 74000 Annecy, France",45.8996593,6.1234896,0,0,0,Cheapest beer,5.4,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Au Fut et à Mesure,"18 Boulevard des Brotteaux, 69006 Lyon, France",45.7687646,4.8568482,0,0,0,Cheapest beer,5.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Au Fût Et À Mesure,"5 Rue du Faisan, 59800 Lille, France",50.6327946,3.0536898,0,0,0,Cheapest beer,,5.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Au Fût Et À Mesure,"7 Rue de Chativesle, 51100 Reims, France",49.2558876,4.0260554,0,0,0,Cheapest beer,5.0,,50,Cuvée des Trolls,,,50.0,Kasteel Rouge,,,50.0,,,,,,,,,,,,,,,,,,,,
123,Au Fût Et À Mesure,"2 Rue Boirot, 63000 Clermont-Ferrand, France",45.7795163,3.0852254,16,19,2,Cheapest beer,7.8,5.8,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Kiefergass,"25 Rue des Tonneliers, 67000 Strasbourg, France",48.5805138,7.7488026,16,19,0,Cheapest beer,5.5,3.5,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Au Fût Et À Mesure,"2 Rue d'Hauteville, 75010 Paris-10E-Arrondissement, France",48.8707446,2.3498025,0,0,0,Cheapest beer,6.0,,50,BAPBAP Originale,,,50.0,Cuvée des Trolls,,,50.0,Kasteel Rouge,,,50,Kwak,,,50,Triple Karmeliet,,,50,Maredsous Blonde,,,50,,,,
127,Au Fût Et À Mesure,"31 Rue Bernadotte, 64000 Pau, France",43.2973105,-0.3741494,16,19,0,Cheapest beer,7.0,5.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
