;initial_search;ville;type;name;summary;image_src;wiki_link
10;Quartier du Vieux Lyon;lyon;lieu;Vieux Lyon;Le Vieux Lyon est le quartier médiéval et Renaissance de Lyon. Il est situé en bordure de Saône, au pied de la colline de Fourvière en rive droite de la Saône. C'est l'un des quartiers les plus vastes concernant cette période médiévale et Renaissance (avec Venise) qui est encore resté intact jusqu'à nos jours.  ;http://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Vieuxlyon_saintjean_toits.jpg/280px-Vieuxlyon_saintjean_toits.jpg;https://fr.wikipedia.org/wiki/Vieux_Lyon
11;Cours et Traboules;lyon;lieu;Traboule;Les traboules sont des passages piétons à travers des cours d'immeuble qui permettent de se rendre d'une rue à une autre dans certaines villes françaises. Les plus connues sont à Lyon. Mais elles se trouvent aussi à Villefranche-sur-Saône, Mâcon, Chambéry, Saint-Étienne, Louhans, Chalon-sur-Saône, Grenoble, Schiltigheim, Vienne, Tournus ou encore Lavoûte-Chilhac.;http://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Traboule_courtyard_C_staircase_Lyon.jpg/170px-Traboule_courtyard_C_staircase_Lyon.jpg;https://fr.wikipedia.org/wiki/Traboule
12;Traboule de la Tour Rose;lyon;lieu;Traboule;Les traboules sont des passages piétons à travers des cours d'immeuble qui permettent de se rendre d'une rue à une autre dans certaines villes françaises. Les plus connues sont à Lyon. Mais elles se trouvent aussi à Villefranche-sur-Saône, Mâcon, Chambéry, Saint-Étienne, Louhans, Chalon-sur-Saône, Grenoble, Schiltigheim, Vienne, Tournus ou encore Lavoûte-Chilhac.;http://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Traboule_courtyard_C_staircase_Lyon.jpg/170px-Traboule_courtyard_C_staircase_Lyon.jpg;https://fr.wikipedia.org/wiki/Traboule
13;Jardins suspendus de Gadagne;lyon;lieu;École normale supérieure de Lyon;L’École normale supérieure de Lyon (ou ENS de Lyon) est une grande école scientifique et littéraire française, l'une des quatre écoles normales supérieures. Elle forme à l'enseignement et à la recherche dans le domaine des sciences fondamentales et expérimentales ainsi que dans celui des lettres et sciences humaines. Originellement créée pour former exclusivement ses élèves-fonctionnaires ou normaliens, recrutés sur concours, l'ENS forme aujourd'hui également des étudiants-normaliens non rémunérés, des auditeurs et des étudiants étrangers. L'École accueille environ 2 200 étudiants, 1 000 chercheurs, et un nombre important de laboratoires et de centres de recherches, répartis en dix départements. Référence dans l'enseignement supérieur français, elle est un centre de recherche important, et l'un des centres essentiels de formation des chercheurs français depuis le XIXe siècle, notamment, par son histoire, dans les domaines de la pédagogie et de l'éducation.;http://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Ens-lyon.jpg/260px-Ens-lyon.jpg;https://fr.wikipedia.org/wiki/%C3%89cole_normale_sup%C3%A9rieure_de_Lyon
14;Cour des Voraces;lyon;lieu;Cour des Voraces;La Cour des Voraces est une cour d'immeuble lyonnais, célèbre pour son monumental escalier de façade de six étages (escalier à volées libres). C'est une impressionnante traboule qui permet de passer du 9 de la place Colbert au 14 de la montée de Saint-Sébastien ou au 29 rue Imbert-Colomès.;http://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Cour_des_Voraces.JPG/280px-Cour_des_Voraces.JPG;https://fr.wikipedia.org/wiki/Cour_des_Voraces
15; La Ficelle(Funiculaire);lyon;lieu;Funiculaire de Lyon;Le funiculaire de Lyon représente l'ensemble des chemins de fer à traction funiculaire ayant existé sur le territoire de la ville de Lyon : du fait de sa topographie tourmentée, la ville posséda jusqu'à cinq funiculaires, reliant les bas quartiers à ceux des collines de Fourvière et de la Croix-Rousse.;http://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Funiculaire_Lyon_p4.JPG/280px-Funiculaire_Lyon_p4.JPG;https://fr.wikipedia.org/wiki/Funiculaire_de_Lyon
16; Place Bellecour;lyon;lieu;Place Bellecour;La place Bellecour est la plus grande place de la ville de Lyon (62 000 m2) et la cinquième plus grande place de France, après la place des Quinconces à Bordeaux (126 000 m2), la place de la Concorde à Paris (86 400 m2), le Cours Léopold et place Carnot à Nancy (76 400 m2) et la place de l’hôtel de ville au Havre (70 000 m2). Elle est souvent présentée rectangulaire mais c'est une place trapézoïdale avec une taille de 300 mètres par 220 / 190 mètres, elle est plus grande que la place de la Constitution de Mexico (230 × 192 m) et que la place Rouge de Moscou (330 × 70 m). C'est également la plus grande place piétonnière d'Europe, les places précédemment citées pouvant accueillir des véhicules, au contraire de la place Bellecour.;http://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Lyon_Place_Bellecour.JPG/280px-Lyon_Place_Bellecour.JPG;https://fr.wikipedia.org/wiki/Place_Bellecour
17; Grande Roue de Bellecour;lyon;lieu;Place Bellecour;La place Bellecour est la plus grande place de la ville de Lyon (62 000 m2) et la cinquième plus grande place de France, après la place des Quinconces à Bordeaux (126 000 m2), la place de la Concorde à Paris (86 400 m2), le Cours Léopold et place Carnot à Nancy (76 400 m2) et la place de l’hôtel de ville au Havre (70 000 m2). Elle est souvent présentée rectangulaire mais c'est une place trapézoïdale avec une taille de 300 mètres par 220 / 190 mètres, elle est plus grande que la place de la Constitution de Mexico (230 × 192 m) et que la place Rouge de Moscou (330 × 70 m). C'est également la plus grande place piétonnière d'Europe, les places précédemment citées pouvant accueillir des véhicules, au contraire de la place Bellecour.;http://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Lyon_Place_Bellecour.JPG/280px-Lyon_Place_Bellecour.JPG;https://fr.wikipedia.org/wiki/Place_Bellecour
18; Presqu’ile;lyon;lieu;Presqu'île (Lyon);La Presqu'île est une partie de la ville de Lyon qui s'étend sur les 1er et 2e arrondissements. La Presqu'île est classée au patrimoine mondial de l'UNESCO depuis 1999. Géographiquement, la Presqu'île constitue la partie centrale de la ville de Lyon.;http://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Lyon_presquile_P1190151.jpg/280px-Lyon_presquile_P1190151.jpg;https://fr.wikipedia.org/wiki/Presqu%27%C3%AEle_(Lyon)
19; Place des Jacobins;lyon;lieu;Place des Jacobins (Lyon);La place des Jacobins est une place située dans le quartier de Bellecour, dans le 2e arrondissement de la ville de Lyon.;http://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Place_Jacobins_Lyon.jpg/280px-Place_Jacobins_Lyon.jpg;https://fr.wikipedia.org/wiki/Place_des_Jacobins_(Lyon)
20; Parc de la tête d’Or;lyon;lieu;Parc de la Tête d'or;Le parc de la Tête d'or est un parc urbain public situé à Lyon, l'un des plus grands de France. Œuvre des frères Denis et Eugène Bühler, le parc est ouvert dès 1857 alors que les travaux ne sont pas achevés. Il est exactement contemporain du Central Park de New York, créé la même année. Le parc est enrichi de nombreux bâtiments comme les grandes serres en 1865, le vélodrome, le chalet des gardes et le chalet en 1894, la clôture en 1896, les serres de collection en 1899, le monument aux morts de l'île aux Cygnes entre 1914 et 1930 ou encore la nouvelle roseraie entre 1961 et 1964.;http://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Parc_de_la_T%C3%AAte_d%27Or_Vue_sur_le_lac7.jpg/280px-Parc_de_la_T%C3%AAte_d%27Or_Vue_sur_le_lac7.jpg;https://fr.wikipedia.org/wiki/Parc_de_la_T%C3%AAte_d%27or
21; Fresque des Lyonnais;lyon;lieu;Fresque des Lyonnais;La fresque des Lyonnais est une peinture murale de 800 m2 de surface, située à Lyon, dans la métropole de Lyon en France. Elle représente 24 personnages historiques lyonnais et 6 personnages contemporains. Elle a été réalisée en 1994-1995 par CitéCréation.;http://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Fresques_Lyonnais_rue_Martini%C3%A8re_Lyon_1.jpg/260px-Fresques_Lyonnais_rue_Martini%C3%A8re_Lyon_1.jpg;https://fr.wikipedia.org/wiki/Fresque_des_Lyonnais
22;Musée Gadagne;lyon;museum;Musées Gadagne;Les musées Gadagne forment un ensemble muséal, situé à Lyon, en France. Situé dans l'hôtel des Pierrevive, communément appelé « hôtel de Gadagne », dans le quartier Saint-Jean, l'un des trois quartiers formant le Vieux Lyon, cet ensemble comprend deux musées, l'un consacré à l'histoire de Lyon (MHL - musée d'histoire de Lyon) et l'autre aux arts de la marionnette (MAM - musée des arts de la marionnette). Après le constat de son obsolescence, le musée ferme en 1998 pour plus de dix ans de travaux de rénovation et d'agrandissement. Il est ouvert depuis le 12 juin 2009.;http://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Mus%C3%A9e_Gadagne.JPG/260px-Mus%C3%A9e_Gadagne.JPG;https://fr.wikipedia.org/wiki/Mus%C3%A9es_Gadagne
23; Musée de l’Histoire de Lyon;lyon;museum;Lyon;Lyon (prononcé /ljɔ̃/ ou /liɔ̃/ , Liyon en francoprovençal) est une commune française située dans le sud-est de la France, au confluent du Rhône et de la Saône. Siège du conseil de la métropole de Lyon, elle est le chef-lieu de l'arrondissement de Lyon, de la circonscription départementale du Rhône et de la région Auvergne-Rhône-Alpes. Ses habitants sont appelés les Lyonnais.;http://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Lyon-Paysages.jpg/280px-Lyon-Paysages.jpg;https://fr.wikipedia.org/wiki/Lyon
24; Musée des arts de la Marionnette;lyon;museum;Madelon (marionnette);Madelon est une marionnette à gaine lyonnaise du théâtre de Guignol. Seul personnage féminin récurrent, elle est le plus souvent l'épouse de Guignol, parfois la fille de Gnafron.;http://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Guignol_in_Lyon_1.jpg/41px-Guignol_in_Lyon_1.jpg;https://fr.wikipedia.org/wiki/Madelon_(marionnette)
25; Musée Miniature et Cinéma;lyon;museum;Musée Miniature et Cinéma;Le musée Miniature et Cinéma, anciennement musée des miniatures et décors de cinéma, est un musée privé fondé en 2005 par l'artiste miniaturiste Dan Ohlmann. Il est situé au no 60 rue Saint-Jean à Lyon, hébergé dans le bâtiment historique classé  de l'ancienne Maison des avocats.;http://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Mus%C3%A9e_des_Miniatures_et_du_Cin%C3%A9ma_-_Lyon.jpg/260px-Mus%C3%A9e_des_Miniatures_et_du_Cin%C3%A9ma_-_Lyon.jpg;https://fr.wikipedia.org/wiki/Mus%C3%A9e_Miniature_et_Cin%C3%A9ma
26; Maison des Canuts;lyon;museum;Canut;Les canuts, prononcé [kany], étaient les ouvriers tisserands de la soie sur les machines à tisser. Les canuts se nomment eux-mêmes ouvriers de la fabrique. Au sein de la fabrique, ces hommes ou ces femmes sont parmi les plus considérés des ouvriers, ils sont les plus nombreux et gagnent les meilleurs salaires. Ils se trouvaient principalement dans le quartier de la Croix-Rousse à Lyon (France) au XIXe siècle.;http://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Metier_a_tisser.jpg/220px-Metier_a_tisser.jpg;https://fr.wikipedia.org/wiki/Canut
27; Jardin Botanique;lyon;museum;Jardin botanique de Lyon;Le jardin botanique de Lyon est un jardin botanique qui s'étend, au sein du parc de la Tête d'or, sur 8 hectares dont 6 500 m2 de serres. Ses collections comprennent 15 000 taxons.;http://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Jardin_botanique_lyon_2.JPG/280px-Jardin_botanique_lyon_2.JPG;https://fr.wikipedia.org/wiki/Jardin_botanique_de_Lyon
28; Parc Zoologique;lyon;museum;Jardin zoologique de Lyon;Le Zoo de Lyon, anciennement appelé Jardin zoologique de Lyon, mais aussi connu comme le Zoo du Parc de la Tête d'or, est un parc zoologique municipal français situé en Auvergne-Rhône-Alpes au sein du parc de la Tête d'or de la ville de Lyon. Créé en 1858 sous l'impulsion du préfet du Rhône Claude-Marius Vaïsse, il présente aujourd'hui un peu plus de 300 animaux de 66 espèces sur 9 hectares. Il est dirigé par Xavier Vaillant depuis 2012.;http://upload.wikimedia.org/wikipedia/fr/thumb/4/48/Logo-Zoo-300x203.jpg/250px-Logo-Zoo-300x203.jpg;https://fr.wikipedia.org/wiki/Jardin_zoologique_de_Lyon
29; Musée des Confluences;lyon;museum;Musée des Confluences;Le musée des Confluences est un musée d'histoire naturelle, d'anthropologie, des sociétés et des civilisations situé à Lyon en Auvergne-Rhône-Alpes. Héritier du Musée d'histoire naturelle Guimet de Lyon, il est hébergé dans un bâtiment de style déconstructiviste de l’agence d'architecture Coop Himmelb(l)au de 2014, dans le quartier de La Confluence, sur la pointe sud de la Presqu'île de Lyon, au confluent du Rhône et de la Saône (2e arrondissement de Lyon).;http://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Logo_-_mus%C3%A9e_des_confluences.jpg/130px-Logo_-_mus%C3%A9e_des_confluences.jpg;https://fr.wikipedia.org/wiki/Mus%C3%A9e_des_Confluences
30; Musée des Beaux-arts;lyon;museum;Musée des Beaux-Arts de Lyon;Le musée des Beaux-Arts de Lyon est un musée municipal situé sur la place des Terreaux à Lyon (France) dans l'abbaye de Saint-Pierre-les-Nonnains, plus connu sous le nom de palais Saint-Pierre.;http://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/MBA_Lyon_facade_nuit.jpg/260px-MBA_Lyon_facade_nuit.jpg;https://fr.wikipedia.org/wiki/Mus%C3%A9e_des_Beaux-Arts_de_Lyon
31; La Rosette de Lyon;lyon;food;Lyon;Lyon (prononcé /ljɔ̃/ ou /liɔ̃/ , Liyon en francoprovençal) est une commune française située dans le sud-est de la France, au confluent du Rhône et de la Saône. Siège du conseil de la métropole de Lyon, elle est le chef-lieu de l'arrondissement de Lyon, de la circonscription départementale du Rhône et de la région Auvergne-Rhône-Alpes. Ses habitants sont appelés les Lyonnais.;http://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Lyon-Paysages.jpg/280px-Lyon-Paysages.jpg;https://fr.wikipedia.org/wiki/Lyon
32; La Salade lyonnaise;lyon;food;Salade lyonnaise;La salade lyonnaise est une recette de cuisine de salade composée traditionnelle de la cuisine lyonnaise à Lyon, variante de la salade de pissenlit.;http://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Salade_lyonnaise.JPG/280px-Salade_lyonnaise.JPG;https://fr.wikipedia.org/wiki/Salade_lyonnaise
33; Le saucisson brioché;lyon;food;Saucisson brioché;Le saucisson brioché ou saucisson en brioche est une spécialité culinaire de charcuterie pâtissière traditionnelle de la cuisine lyonnaise, à base de saucisson chaud lyonnais cuit à l'étouffée au four dans une pâte à brioche moelleuse dorée, et servi en tranche.;http://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Saucisson_pistach%C3%A9_en_brioche.jpg/280px-Saucisson_pistach%C3%A9_en_brioche.jpg;https://fr.wikipedia.org/wiki/Saucisson_brioch%C3%A9
34; Le Tablier de sapeur;lyon;food;Tablier de sapeur;Le tablier de sapeur est une spécialité culinaire de la région lyonnaise à base de gras-double (ou « bonnet nid d'abeille »).;http://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Tablier_de_sapeur_-_d%C3%A9cember_2016.JPG/220px-Tablier_de_sapeur_-_d%C3%A9cember_2016.JPG;https://fr.wikipedia.org/wiki/Tablier_de_sapeur
35; Le Poulet Célestine;lyon;food;Cuisine lyonnaise;La cuisine lyonnaise est une cuisine traditionnelle régionale de la cuisine française. La cuisine lyonnaise, située au carrefour de traditions culinaires régionales, tire depuis des générations le meilleur parti des ressources agricoles des alentours : élevages de la Bresse et du Charolais, gibier de la Dombes, poissons des lacs savoyards, légumes et fruits primeurs de la Drôme, de l'Ardèche et du Forez, vins de Bourgogne, du Beaujolais et de la vallée du Rhône.;http://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Paul_Bocuse.jpg/170px-Paul_Bocuse.jpg;https://fr.wikipedia.org/wiki/Cuisine_lyonnaise
36; Les Quenelles;lyon;food;Quenelle;La quenelle est une pâte moelleuse de forme cylindrique/boudin pochée dans l’eau bouillante. Elle est confectionnée à partir soit de farine, de mie de pain, de semoule ou de pâte à choux, mêlées de viande et pochées à l'eau ou dans un bouillon. Elles sont typiques dans la cuisine traditionnelle de plusieurs régions de l'Est de la France — en particulier les cuisines lyonnaise ou alsacienne. Elles peuvent se préparer avec divers ingrédients, généralement des viandes blanches, notamment de brochet, de moelle, de veau, de volaille et, en Alsace, de foie.;http://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Quenelle_de_brochet_sauce_Nantua.jpg/280px-Quenelle_de_brochet_sauce_Nantua.jpg;https://fr.wikipedia.org/wiki/Quenelle
37; Le Saint Marcellin;lyon;food;Saint-marcellin;Le saint-marcellin est un fromage français du Dauphiné. Son Indication géographique protégée (IGP) date de la fin 2013, elle s'étend sur 274 communes en Isère, dans la Drôme et en Savoie.  ;http://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Wikicheese_-_Saint-marcellin_-_20150417_-_010.jpg/260px-Wikicheese_-_Saint-marcellin_-_20150417_-_010.jpg;https://fr.wikipedia.org/wiki/Saint-marcellin
38; La cervelle des canuts;lyon;food;Cervelle de canut;La cervelle de canut, également appelée claqueret ou tomme daubée, est une spécialité fromagère typique de la cuisine lyonnaise. Elle est dérivée d'une autre spécialité appelée sarasson.;http://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Plaque_rue_L%C3%A9on_de_Lyon_-_Paul_Lacombe_-_Cervelle_de_canut.JPG/220px-Plaque_rue_L%C3%A9on_de_Lyon_-_Paul_Lacombe_-_Cervelle_de_canut.JPG;https://fr.wikipedia.org/wiki/Cervelle_de_canut
39; La tarte aux pralines;lyon;food;Tarte aux pralines;La tarte aux pralines ou tarte à la praline est un dessert de type tarte, spécialité culinaire lyonnaise qui utilise la praline comme ingrédient central .;http://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Lyon-Tartelette_aux_pralines_01.jpg/220px-Lyon-Tartelette_aux_pralines_01.jpg;https://fr.wikipedia.org/wiki/Tarte_aux_pralines
40; Les Bugnes;lyon;food;Bugne;Les bugnes du Sud-Est sont de petites pâtisseries de la famille des beignets, dont les cousines proches sont les merveilles du Sud-Ouest de la France et en Vallée d'Aoste, sont originellement une spécialité culinaire du duché de Savoie, qui a fini par s'étendre dans toute la zone de locution de l'arpitan, notamment Lyon, le Dauphiné, la Vallée d'Aoste, la Vallée du Rhône et en Franche-Comté (jusqu'au centre-est de la France et dans les vallées francophones transalpines de la Vallée d'Aoste) mais également en Auvergne.;http://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Bugnes_white_background.jpg/220px-Bugnes_white_background.jpg;https://fr.wikipedia.org/wiki/Bugne
41; Cathédrale Notre Dame;strasbourg;monument;Cathédrale Notre-Dame de Strasbourg;La cathédrale Notre-Dame de Strasbourg est une cathédrale gothique catholique située à Strasbourg, en région Grand Est, dans le département français du Bas-Rhin en Alsace.;http://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Strasbourg_Cathedral_Exterior_-_Diliff.jpg/280px-Strasbourg_Cathedral_Exterior_-_Diliff.jpg;https://fr.wikipedia.org/wiki/Cath%C3%A9drale_Notre-Dame_de_Strasbourg
42; Hôtels et Palais du XVIIIème;strasbourg;monument;Hôtels particuliers de Toulouse;Toulouse, à la tête d'un vaste comté au Moyen Âge, puis capitale de la province de Languedoc jusqu'à la Révolution, a tout au long de son histoire compté parmi les principales villes de France. Centre de pouvoir, la ville a conservé jusqu'à nos jours de nombreux hôtels particuliers édifiés par ses élites : capitouls, marchands fortunés et noblesse de robe liée au Parlement de Toulouse notamment.;http://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Ecole_Sup%C3%A9rieure_d%27Audiovisuel_-_Tour_Maurand_PA00094641.jpg/185px-Ecole_Sup%C3%A9rieure_d%27Audiovisuel_-_Tour_Maurand_PA00094641.jpg;https://fr.wikipedia.org/wiki/H%C3%B4tels_particuliers_de_Toulouse
43; Horloge astronomique;strasbourg;monument;Horloge astronomique de Strasbourg;L'Horloge astronomique de la Cathédrale Notre-Dame de Strasbourg est un chef-d'œuvre de la Renaissance, considéré à l'époque comme faisant partie des sept merveilles de l'Allemagne. Elle est classée monument historique depuis le 15 avril 1987.;http://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Strasbourg_Cathedral_Astronomical_Clock_-_Diliff.jpg/290px-Strasbourg_Cathedral_Astronomical_Clock_-_Diliff.jpg;https://fr.wikipedia.org/wiki/Horloge_astronomique_de_Strasbourg
44; Eglise Saint Thomas;strasbourg;monument;Église Saint-Thomas de Strasbourg;L’église Saint-Thomas de Strasbourg (aussi appelée Thomaskirche en allemand) est située place Saint-Thomas dans le centre historique de la ville à proximité du quartier de la Petite France.;http://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Strasbourg_%C3%89glise_St_Thomas_janvier_2015.jpg/280px-Strasbourg_%C3%89glise_St_Thomas_janvier_2015.jpg;https://fr.wikipedia.org/wiki/%C3%89glise_Saint-Thomas_de_Strasbourg
45; Eglise Saint Pierre Le Vieux;strasbourg;monument;Église Saint-Pierre-le-Vieux de Strasbourg;L'église Saint-Pierre-le-Vieux de Strasbourg se situe place Saint-Pierre-le-Vieux, au bout de la rue du 22-Novembre et de la Grand'rue dans le centre historique de la ville.;http://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Side_view_of_Saint-Pierre-le-Vieux_%28day%29.jpg/280px-Side_view_of_Saint-Pierre-le-Vieux_%28day%29.jpg;https://fr.wikipedia.org/wiki/%C3%89glise_Saint-Pierre-le-Vieux_de_Strasbourg
46; Eglise Saint Paul;strasbourg;monument;Église Saint-Paul de Strasbourg;L’église Saint-Paul de Strasbourg (« Paulskirche » en allemand) est située à l'intersection des quais Zorn et Mullenheim, au bord de l'Aar et de l'Ill. ;http://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Strasbourg_St_Paul_septembre_2015_%28recadr%C3%A9%29.jpg/280px-Strasbourg_St_Paul_septembre_2015_%28recadr%C3%A9%29.jpg;https://fr.wikipedia.org/wiki/%C3%89glise_Saint-Paul_de_Strasbourg
47; Palais Rohan;strasbourg;monument;Palais Rohan (Strasbourg);Le palais Rohan se situe dans le centre-ville de Strasbourg, Bas-Rhin, à côté de la cathédrale. Il abrite aujourd'hui trois musées, le musée des arts décoratifs, le musée des beaux-arts et le musée archéologique.;http://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Cathedrale-de-Strasbourg-IMG_1331.jpg/280px-Cathedrale-de-Strasbourg-IMG_1331.jpg;https://fr.wikipedia.org/wiki/Palais_Rohan_(Strasbourg)
